"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1125922892879761409","https://twitter.com/_achiku/status/1125922892879761409","テスラは「SNS広告」に全く費用を支払わない、米調査で判明 https://t.co/BznNmuTNZ6","2019-05-08 00:38 +0000","370.0","11.0","0.02972972972972973","0.0","0.0","1.0","0.0","10.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125913455725125632","https://twitter.com/_achiku/status/1125913455725125632","つらいみょん","2019-05-08 00:01 +0000","305.0","8.0","0.02622950819672131","0.0","0.0","1.0","7.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125769278186192896","https://twitter.com/_achiku/status/1125769278186192896","""中には冒険的に振る舞おうとする大企業もあるが、
それは薄められたやり方に限られる。彼らは、もし失敗しても会社のいかなる部分も危険に陥る恐れがない範囲で、実験または特別な開発の分野を仕切り、会社の主流の外で働くチームを任命する。... https://t.co/jNj8diZsrb","2019-05-07 14:28 +0000","385.0","9.0","0.023376623376623377","0.0","0.0","0.0","2.0","6.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125748572773707776","https://twitter.com/_achiku/status/1125748572773707776","5/18はGoConだ","2019-05-07 13:05 +0000","364.0","1.0","0.0027472527472527475","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125743596974424064","https://twitter.com/_achiku/status/1125743596974424064","@rmhkwar0518 オッ","2019-05-07 12:46 +0000","175.0","13.0","0.07428571428571429","0.0","0.0","1.0","5.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125733661620334592","https://twitter.com/_achiku/status/1125733661620334592","麻布十番でとある条件を満たすと出現する”零ノ橋”","2019-05-07 12:06 +0000","472.0","11.0","0.023305084745762712","1.0","0.0","4.0","3.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125718763775463424","https://twitter.com/_achiku/status/1125718763775463424","「電通グループの」は季語","2019-05-07 11:07 +0000","319.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125704035200225280","https://twitter.com/_achiku/status/1125704035200225280","テキーラで水見式 #スナック視座","2019-05-07 10:08 +0000","412.0","16.0","0.038834951456310676","0.0","0.0","1.0","4.0","0.0","11.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125699677851009026","https://twitter.com/_achiku/status/1125699677851009026","大体鮫島さんがいる #スナック視座","2019-05-07 09:51 +0000","525.0","11.0","0.02095238095238095","0.0","0.0","2.0","0.0","0.0","9.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125696797643395072","https://twitter.com/_achiku/status/1125696797643395072","唐突に始まるファイヤージャグリング #スナック視座","2019-05-07 09:40 +0000","405.0","6.0","0.014814814814814815","0.0","0.0","0.0","2.0","0.0","3.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125695742822178816","https://twitter.com/_achiku/status/1125695742822178816","売ってるタバコはechoのみ #スナック視座","2019-05-07 09:35 +0000","773.0","17.0","0.02199223803363519","0.0","0.0","5.0","3.0","0.0","9.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125694689607208960","https://twitter.com/_achiku/status/1125694689607208960","「スナック　視座」やりたい","2019-05-07 09:31 +0000","3559.0","29.0","0.00814835627985389","2.0","0.0","10.0","12.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
